fanduel_name,boxscore_name,idTeam,teamSlug,teamLogo
Atlanta Hawks,Atlanta Hawks,1610612737,ATL,https://stats.nba.com/media/img/teams/logos/season/2020-21/ATL_logo.svg
Boston Celtics,Boston Celtics,1610612738,BOS,https://stats.nba.com/media/img/teams/logos/season/2020-21/BOS_logo.svg
Brooklyn Nets,Brooklyn Nets,1610612751,BKN,https://stats.nba.com/media/img/teams/logos/season/2020-21/BKN_logo.svg
Charlotte Hornets,Charlotte Hornets,1610612766,CHA,https://stats.nba.com/media/img/teams/logos/season/2020-21/CHA_logo.svg
Chicago Bulls,Chicago Bulls,1610612741,CHI,https://stats.nba.com/media/img/teams/logos/season/2020-21/CHI_logo.svg
Cleveland Cavaliers,Cleveland Cavaliers,1610612739,CLE,https://stats.nba.com/media/img/teams/logos/season/2020-21/CLE_logo.svg
Dallas Mavericks,Dallas Mavericks,1610612742,DAL,https://stats.nba.com/media/img/teams/logos/season/2020-21/DAL_logo.svg
Denver Nuggets,Denver Nuggets,1610612743,DEN,https://stats.nba.com/media/img/teams/logos/season/2020-21/DEN_logo.svg
Detroit Pistons,Detroit Pistons,1610612765,DET,https://stats.nba.com/media/img/teams/logos/season/2020-21/DET_logo.svg
Golden State Warriors,Golden State Warriors,1610612744,GSW,https://stats.nba.com/media/img/teams/logos/season/2020-21/GSW_logo.svg
Houston Rockets,Houston Rockets,1610612745,HOU,https://stats.nba.com/media/img/teams/logos/season/2020-21/HOU_logo.svg
Indiana Pacers,Indiana Pacers,1610612754,IND,https://stats.nba.com/media/img/teams/logos/season/2020-21/IND_logo.svg
Los Angeles Clippers,LA Clippers,1610612746,LAC,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAC_logo.svg
Los Angeles Lakers,Los Angeles Lakers,1610612747,LAL,https://stats.nba.com/media/img/teams/logos/season/2020-21/LAL_logo.svg
Memphis Grizzlies,Memphis Grizzlies,1610612763,MEM,https://stats.nba.com/media/img/teams/logos/season/2020-21/MEM_logo.svg
Miami Heat,Miami Heat,1610612748,MIA,https://stats.nba.com/media/img/teams/logos/season/2020-21/MIA_logo.svg
Milwaukee Bucks,Milwaukee Bucks,1610612749,MIL,https://stats.nba.com/media/img/teams/logos/season/2020-21/MIL_logo.svg
Minnesota Timberwolves,Minnesota Timberwolves,1610612750,MIN,https://stats.nba.com/media/img/teams/logos/season/2020-21/MIN_logo.svg
New Orleans Pelicans,New Orleans Pelicans,1610612740,NOP,https://stats.nba.com/media/img/teams/logos/season/2020-21/NOP_logo.svg
New York Knicks,New York Knicks,1610612752,NYK,https://stats.nba.com/media/img/teams/logos/season/2020-21/NYK_logo.svg
Oklahoma City Thunder,Oklahoma City Thunder,1610612760,OKC,https://stats.nba.com/media/img/teams/logos/season/2020-21/OKC_logo.svg
Orlando Magic,Orlando Magic,1610612753,ORL,https://stats.nba.com/media/img/teams/logos/season/2020-21/ORL_logo.svg
Philadelphia 76ers,Philadelphia 76ers,1610612755,PHI,https://stats.nba.com/media/img/teams/logos/season/2020-21/PHI_logo.svg
Phoenix Suns,Phoenix Suns,1610612756,PHX,https://stats.nba.com/media/img/teams/logos/season/2020-21/PHX_logo.svg
Portland Trail Blazers,Portland Trail Blazers,1610612757,POR,https://stats.nba.com/media/img/teams/logos/season/2020-21/POR_logo.svg
Sacramento Kings,Sacramento Kings,1610612758,SAC,https://stats.nba.com/media/img/teams/logos/season/2020-21/SAC_logo.svg
San Antonio Spurs,San Antonio Spurs,1610612759,SAS,https://stats.nba.com/media/img/teams/logos/season/2020-21/SAS_logo.svg
Toronto Raptors,Toronto Raptors,1610612761,TOR,https://stats.nba.com/media/img/teams/logos/season/2020-21/TOR_logo.svg
Utah Jazz,Utah Jazz,1610612762,UTA,https://stats.nba.com/media/img/teams/logos/season/2020-21/UTA_logo.svg
Washington Wizards,Washington Wizards,1610612764,WAS,https://stats.nba.com/media/img/teams/logos/season/2020-21/WAS_logo.svg
